time	V(n004)
1.071240000000006e-009	2.613079e-004
1.072240000000006e-009	2.653361e-004
1.073240000000006e-009	2.693202e-004
1.074240000000006e-009	2.732598e-004
1.075240000000006e-009	2.771546e-004
1.076240000000006e-009	2.810046e-004
1.077240000000007e-009	2.848095e-004
1.078240000000007e-009	2.885692e-004
1.079240000000007e-009	2.922835e-004
1.080240000000007e-009	2.959523e-004
1.081240000000007e-009	2.995754e-004
1.082240000000007e-009	3.031529e-004
1.083240000000007e-009	3.066846e-004
1.084240000000007e-009	3.101706e-004
1.085240000000007e-009	3.136107e-004
1.086240000000007e-009	3.170048e-004
1.087240000000008e-009	3.203531e-004
1.088240000000008e-009	3.236555e-004
1.089240000000008e-009	3.269120e-004
1.090240000000008e-009	3.301226e-004
1.091240000000008e-009	3.332874e-004
1.092240000000008e-009	3.364063e-004
1.093240000000008e-009	3.394795e-004
1.094240000000008e-009	3.425070e-004
1.095240000000008e-009	3.454888e-004
1.096240000000008e-009	3.484251e-004
1.097240000000009e-009	3.513158e-004
1.098240000000009e-009	3.541612e-004
1.099240000000009e-009	3.569611e-004
1.100240000000009e-009	3.597159e-004
1.101240000000009e-009	3.624255e-004
1.102240000000009e-009	3.650900e-004
1.103240000000009e-009	3.677096e-004
1.104240000000009e-009	3.702845e-004
1.105240000000009e-009	3.728146e-004
1.106240000000009e-009	3.753002e-004
1.107240000000010e-009	3.777413e-004
1.108240000000010e-009	3.801381e-004
1.109240000000010e-009	3.824908e-004
1.110240000000010e-009	3.847994e-004
1.111240000000010e-009	3.870642e-004
1.112240000000010e-009	3.892852e-004
1.113240000000010e-009	3.914626e-004
1.114240000000010e-009	3.935966e-004
1.115240000000010e-009	3.956874e-004
1.116240000000010e-009	3.977350e-004
1.117240000000011e-009	3.997397e-004
1.118240000000011e-009	4.017016e-004
1.119240000000011e-009	4.036209e-004
1.120240000000011e-009	4.054977e-004
1.121240000000011e-009	4.073323e-004
1.122240000000011e-009	4.091248e-004
1.123240000000011e-009	4.108754e-004
1.124240000000011e-009	4.125842e-004
1.125240000000011e-009	4.142515e-004
1.126240000000011e-009	4.158774e-004
1.127240000000012e-009	4.174622e-004
1.128240000000012e-009	4.190059e-004
1.129240000000012e-009	4.205089e-004
1.130240000000012e-009	4.219712e-004
1.131240000000012e-009	4.233932e-004
1.132240000000012e-009	4.247749e-004
1.133240000000012e-009	4.261166e-004
1.134240000000012e-009	4.274184e-004
1.135240000000012e-009	4.286807e-004
1.136240000000012e-009	4.299035e-004
1.137240000000013e-009	4.310871e-004
1.138240000000013e-009	4.322317e-004
1.140240000000013e-009	4.344047e-004
1.142240000000013e-009	4.364241e-004
1.144240000000013e-009	4.382917e-004
1.146240000000013e-009	4.400091e-004
1.148240000000014e-009	4.415781e-004
1.150000000000000e-009	4.428396e-004
1.151000000000000e-009	4.435118e-004
1.151300000000000e-009	4.437036e-004
1.151600000000000e-009	4.438924e-004
1.152000000000000e-009	4.441409e-004
1.152040000000000e-009	4.441653e-004
1.152120000000000e-009	4.442138e-004
1.152280000000000e-009	4.443101e-004
1.152600000000000e-009	4.444993e-004
1.153240000000000e-009	4.448657e-004
1.154240000000000e-009	4.454118e-004
1.155240000000000e-009	4.459258e-004
1.158240000000001e-009	4.472581e-004
1.160240000000001e-009	4.479737e-004
1.162240000000001e-009	4.485534e-004
1.164240000000001e-009	4.489991e-004
1.167240000000002e-009	4.494203e-004
1.170240000000002e-009	4.495503e-004
1.173240000000002e-009	4.493955e-004
1.175240000000002e-009	4.491372e-004
1.176240000000003e-009	4.489622e-004
1.177240000000003e-009	4.487570e-004
1.178240000000003e-009	4.485218e-004
1.179240000000003e-009	4.482569e-004
1.180240000000003e-009	4.479624e-004
1.181240000000003e-009	4.476387e-004
1.182240000000003e-009	4.472859e-004
1.183240000000003e-009	4.469044e-004
1.184240000000003e-009	4.464942e-004
1.186240000000004e-009	4.455893e-004
1.187240000000004e-009	4.450949e-004
1.188240000000004e-009	4.445730e-004
1.189240000000004e-009	4.440237e-004
1.191240000000004e-009	4.428440e-004
1.192240000000004e-009	4.422141e-004
1.193240000000004e-009	4.415578e-004
1.194240000000004e-009	4.408753e-004
1.195240000000004e-009	4.401669e-004
1.196240000000005e-009	4.394329e-004
1.198240000000005e-009	4.378888e-004
1.203240000000005e-009	4.335963e-004
1.204240000000005e-009	4.326656e-004
1.205240000000005e-009	4.317114e-004
1.206240000000006e-009	4.307339e-004
1.207240000000006e-009	4.297335e-004
1.208240000000006e-009	4.287102e-004
1.209240000000006e-009	4.276645e-004
1.210240000000006e-009	4.265964e-004
1.211240000000006e-009	4.255063e-004
1.212240000000006e-009	4.243943e-004
1.213240000000006e-009	4.232608e-004
1.214240000000006e-009	4.221059e-004
1.215240000000006e-009	4.209300e-004
1.216240000000007e-009	4.197332e-004
1.217240000000007e-009	4.185157e-004
1.218240000000007e-009	4.172779e-004
1.219240000000007e-009	4.160199e-004
1.220240000000007e-009	4.147420e-004
1.221240000000007e-009	4.134444e-004
1.222240000000007e-009	4.121274e-004
1.223240000000007e-009	4.107912e-004
1.224240000000007e-009	4.094360e-004
1.225240000000007e-009	4.080621e-004
1.226240000000008e-009	4.066697e-004
1.227240000000008e-009	4.052590e-004
1.228240000000008e-009	4.038303e-004
1.229240000000008e-009	4.023838e-004
1.230240000000008e-009	4.009197e-004
1.231240000000008e-009	3.994383e-004
1.232240000000008e-009	3.979398e-004
1.235240000000008e-009	3.933439e-004
1.236240000000009e-009	3.917793e-004
1.237240000000009e-009	3.901988e-004
1.239240000000009e-009	3.869907e-004
1.241240000000009e-009	3.837215e-004
1.242240000000009e-009	3.820646e-004
1.243240000000009e-009	3.803931e-004
1.244240000000009e-009	3.787073e-004
1.245240000000009e-009	3.770073e-004
1.247240000000010e-009	3.735657e-004
1.249240000000010e-009	3.700703e-004
1.252240000000010e-009	3.647300e-004
1.254240000000010e-009	3.611076e-004
1.257240000000011e-009	3.555849e-004
1.258240000000011e-009	3.537211e-004
1.259240000000011e-009	3.518463e-004
1.260240000000011e-009	3.499606e-004
1.261240000000011e-009	3.480642e-004
1.262240000000011e-009	3.461574e-004
1.264240000000011e-009	3.423133e-004
1.267240000000012e-009	3.364741e-004
1.268240000000012e-009	3.345090e-004
1.269240000000012e-009	3.325350e-004
1.270240000000012e-009	3.305521e-004
1.271240000000012e-009	3.285607e-004
1.272240000000012e-009	3.265609e-004
1.273240000000012e-009	3.245529e-004
1.274240000000012e-009	3.225369e-004
1.275240000000012e-009	3.205132e-004
1.276240000000013e-009	3.184819e-004
1.277240000000013e-009	3.164432e-004
1.278240000000013e-009	3.143974e-004
1.280240000000013e-009	3.102849e-004
1.281240000000013e-009	3.082187e-004
1.282240000000013e-009	3.061460e-004
1.283240000000013e-009	3.040672e-004
1.284240000000013e-009	3.019823e-004
1.286240000000014e-009	2.977953e-004
1.287240000000014e-009	2.956935e-004
1.288240000000014e-009	2.935865e-004
1.289240000000014e-009	2.914744e-004
1.290240000000014e-009	2.893574e-004
1.293240000000014e-009	2.829788e-004
1.294240000000014e-009	2.808440e-004
1.295240000000014e-009	2.787053e-004
1.296240000000015e-009	2.765628e-004
1.297240000000015e-009	2.744166e-004
1.298240000000015e-009	2.722670e-004
1.300240000000015e-009	2.679581e-004
1.302240000000015e-009	2.636375e-004
1.303240000000015e-009	2.614733e-004
1.305240000000015e-009	2.571377e-004
1.306240000000016e-009	2.549668e-004
1.307240000000016e-009	2.527939e-004
1.308240000000016e-009	2.506193e-004
1.310240000000016e-009	2.462655e-004
1.312240000000016e-009	2.419067e-004
1.314240000000016e-009	2.375443e-004
1.317240000000017e-009	2.309964e-004
1.320240000000017e-009	2.244472e-004
1.321240000000017e-009	2.222642e-004
1.322240000000017e-009	2.200821e-004
1.323240000000017e-009	2.179008e-004
1.324240000000017e-009	2.157203e-004
1.325240000000017e-009	2.135407e-004
1.326240000000018e-009	2.113619e-004
1.327240000000018e-009	2.091839e-004
1.328240000000018e-009	2.070076e-004
1.330240000000018e-009	2.026597e-004
1.331240000000018e-009	2.004884e-004
1.332240000000018e-009	1.983189e-004
1.333240000000018e-009	1.961515e-004
1.334240000000018e-009	1.939863e-004
1.335240000000018e-009	1.918233e-004
1.336240000000019e-009	1.896629e-004
1.337240000000019e-009	1.875050e-004
1.339240000000019e-009	1.831975e-004
1.340240000000019e-009	1.810482e-004
1.341240000000019e-009	1.789019e-004
1.342240000000019e-009	1.767589e-004
1.343240000000019e-009	1.746193e-004
1.344240000000019e-009	1.724831e-004
1.345240000000019e-009	1.703506e-004
1.346240000000020e-009	1.682217e-004
1.347240000000020e-009	1.660967e-004
1.348240000000020e-009	1.639757e-004
1.349240000000020e-009	1.618588e-004
1.351240000000020e-009	1.576377e-004
1.353240000000020e-009	1.534344e-004
1.354240000000020e-009	1.513396e-004
1.355240000000020e-009	1.492497e-004
1.357240000000021e-009	1.450846e-004
1.359240000000021e-009	1.409399e-004
1.360240000000021e-009	1.388755e-004
1.361240000000021e-009	1.368165e-004
